Generate posit configurations
"Generate Posit Lookup table for a POSIT<2,0> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
28,00011100,00011100,-2,0,-3,001----,1,100-,0.1875,8.1x1Cp
29,00011101,00011101,-2,0,-3,001----,1,101-,0.203125,8.1x1Dp
30,00011110,00011110,-2,0,-3,001----,1,110-,0.21875,8.1x1Ep
31,00011111,00011111,-2,0,-3,001----,1,111-,0.234375,8.1x1Fp
32,00100000,00100000,-1,0,-2,01-----,0,0000,0.25,8.1x20p
33,00100001,00100001,-1,0,-2,01-----,0,0001,0.265625,8.1x21p
34,00100010,00100010,-1,0,-2,01-----,0,0010,0.28125,8.1x22p
35,00100011,00100011,-1,0,-2,01-----,0,0011,0.296875,8.1x23p
36,00100100,00100100,-1,0,-2,01-----,0,0100,0.3125,8.1x24p
37,00100101,00100101,-1,0,-2,01-----,0,0101,0.328125,8.1x25p
38,00100110,00100110,-1,0,-2,01-----,0,0110,0.34375,8.1x26p
39,00100111,00100111,-1,0,-2,01-----,0,0111,0.359375,8.1x27p
40,00101000,00101000,-1,0,-2,01-----,0,1000,0.375,8.1x28p
41,00101001,00101001,-1,0,-2,01-----,0,1001,0.390625,8.1x29p
42,00101010,00101010,-1,0,-2,01-----,0,1010,0.40625,8.1x2Ap
43,00101011,00101011,-1,0,-2,01-----,0,1011,0.421875,8.1x2Bp
44,00101100,00101100,-1,0,-2,01-----,0,1100,0.4375,8.1x2Cp
45,00101101,00101101,-1,0,-2,01-----,0,1101,0.453125,8.1x2Dp
46,00101110,00101110,-1,0,-2,01-----,0,1110,0.46875,8.1x2Ep
47,00101111,00101111,-1,0,-2,01-----,0,1111,0.484375,8.1x2Fp
48,00110000,00110000,-1,0,-1,01-----,1,0000,0.5,8.1x30p
49,00110001,00110001,-1,0,-1,01-----,1,0001,0.53125,8.1x31p
50,00110010,00110010,-1,0,-1,01-----,1,0010,0.5625,8.1x32p
51,00110011,00110011,-1,0,-1,01-----,1,0011,0.59375,8.1x33p
52,00110100,00110100,-1,0,-1,01-----,1,0100,0.625,8.1x34p
53,00110101,00110101,-1,0,-1,01-----,1,0101,0.65625,8.1x35p
54,00110110,00110110,-1,0,-1,01-----,1,0110,0.6875,8.1x36p
55,00110111,00110111,-1,0,-1,01-----,1,0111,0.71875,8.1x37p
56,00111000,00111000,-1,0,-1,01-----,1,1000,0.75,8.1x38p
57,00111001,00111001,-1,0,-1,01-----,1,1001,0.78125,8.1x39p
58,00111010,00111010,-1,0,-1,01-----,1,1010,0.8125,8.1x3Ap
59,00111011,00111011,-1,0,-1,01-----,1,1011,0.84375,8.1x3Bp
60,00111100,00111100,-1,0,-1,01-----,1,1100,0.875,8.1x3Cp
61,00111101,00111101,-1,0,-1,01-----,1,1101,0.90625,8.1x3Dp
62,00111110,00111110,-1,0,-1,01-----,1,1110,0.9375,8.1x3Ep
63,00111111,00111111,-1,0,-1,01-----,1,1111,0.96875,8.1x3Fp
64,01000000,01000000,0,0,0,10-----,0,0000,1,8.1x40p
65,01000001,01000001,0,0,0,10-----,0,0001,1.0625,8.1x41p
66,01000010,01000010,0,0,0,10-----,0,0010,1.125,8.1x42p
67,01000011,01000011,0,0,0,10-----,0,0011,1.1875,8.1x43p
68,01000100,01000100,0,0,0,10-----,0,0100,1.25,8.1x44p
69,01000101,01000101,0,0,0,10-----,0,0101,1.3125,8.1x45p
70,01000110,01000110,0,0,0,10-----,0,0110,1.375,8.1x46p
71,01000111,01000111,0,0,0,10-----,0,0111,1.4375,8.1x47p
72,01001000,01001000,0,0,0,10-----,0,1000,1.5,8.1x48p
73,01001001,01001001,0,0,0,10-----,0,1001,1.5625,8.1x49p
74,01001010,01001010,0,0,0,10-----,0,1010,1.625,8.1x4Ap
75,01001011,01001011,0,0,0,10-----,0,1011,1.6875,8.1x4Bp
76,01001100,01001100,0,0,0,10-----,0,1100,1.75,8.1x4Cp
77,01001101,01001101,0,0,0,10-----,0,1101,1.8125,8.1x4Dp
78,01001110,01001110,0,0,0,10-----,0,1110,1.875,8.1x4Ep
79,01001111,01001111,0,0,0,10-----,0,1111,1.9375,8.1x4Fp
80,01010000,01010000,0,0,1,10-----,1,0000,2,8.1x50p
81,01010001,01010001,0,0,1,10-----,1,0001,2.125,8.1x51p
82,01010010,01010010,0,0,1,10-----,1,0010,2.25,8.1x52p
83,01010011,01010011,0,0,1,10-----,1,0011,2.375,8.1x53p
84,01010100,01010100,0,0,1,10-----,1,0100,2.5,8.1x54p
85,01010101,01010101,0,0,1,10-----,1,0101,2.625,8.1x55p
86,01010110,01010110,0,0,1,10-----,1,0110,2.75,8.1x56p
87,01010111,01010111,0,0,1,10-----,1,0111,2.875,8.1x57p
88,01011000,01011000,0,0,1,10-----,1,1000,3,8.1x58p
89,01011001,01011001,0,0,1,10-----,1,1001,3.125,8.1x59p
90,01011010,01011010,0,0,1,10-----,1,1010,3.25,8.1x5Ap
91,01011011,01011011,0,0,1,10-----,1,1011,3.375,8.1x5Bp
92,01011100,01011100,0,0,1,10-----,1,1100,3.5,8.1x5Cp
93,01011101,01011101,0,0,1,10-----,1,1101,3.625,8.1x5Dp
94,01011110,01011110,0,0,1,10-----,1,1110,3.75,8.1x5Ep
95,01011111,01011111,0,0,1,10-----,1,1111,3.875,8.1x5Fp
96,01100000,01100000,1,0,2,110----,0,000-,4,8.1x60p
97,01100001,01100001,1,0,2,110----,0,001-,4.5,8.1x61p
98,01100010,01100010,1,0,2,110----,0,010-,5,8.1x62p
99,01100011,01100011,1,0,2,110----,0,011-,5.5,8.1x63p
100,01100100,01100100,1,0,2,110----,0,100-,6,8.1x64p
101,01100101,01100101,1,0,2,110----,0,101-,6.5,8.1x65p
102,01100110,01100110,1,0,2,110----,0,110-,7,8.1x66p
103,01100111,01100111,1,0,2,110----,0,111-,7.5,8.1x67p
104,01101000,01101000,1,0,3,110----,1,000-,8,8.1x68p
105,01101001,01101001,1,0,3,110----,1,001-,9,8.1x69p
106,01101010,01101010,1,0,3,110----,1,010-,10,8.1x6Ap
107,01101011,01101011,1,0,3,110----,1,011-,11,8.1x6Bp
108,01101100,01101100,1,0,3,110----,1,100-,12,8.1x6Cp
109,01101101,01101101,1,0,3,110----,1,101-,13,8.1x6Dp
110,01101110,01101110,1,0,3,110----,1,110-,14,8.1x6Ep
111,01101111,01101111,1,0,3,110----,1,111-,15,8.1x6Fp
112,01110000,01110000,2,0,4,1110---,0,00--,16,8.1x70p
113,01110001,01110001,2,0,4,1110---,0,01--,20,8.1x71p
114,01110010,01110010,2,0,4,1110---,0,10--,24,8.1x72p
115,01110011,01110011,2,0,4,1110---,0,11--,28,8.1x73p
116,01110100,01110100,2,0,5,1110---,1,00--,32,8.1x74p
117,01110101,01110101,2,0,5,1110---,1,01--,40,8.1x75p
118,01110110,01110110,2,0,5,1110---,1,10--,48,8.1x76p
119,01110111,01110111,2,0,5,1110---,1,11--,56,8.1x77p
120,01111000,01111000,3,0,6,11110--,0,0---,64,8.1x78p
121,01111001,01111001,3,0,6,11110--,0,1---,96,8.1x79p
122,01111010,01111010,3,0,7,11110--,1,0---,128,8.1x7Ap
123,01111011,01111011,3,0,7,11110--,1,1---,192,8.1x7Bp
124,01111100,01111100,4,0,8,111110-,0,----,256,8.1x7Cp
125,01111101,01111101,4,0,9,111110-,1,----,512,8.1x7Dp
126,01111110,01111110,5,0,10,1111110,-,----,1024,8.1x7Ep
127,01111111,01111111,6,0,12,1111111,-,----,4096,8.1x7Fp
128,10000000,10000000,7,1,-12,0000000,-,----,nar,8.1x80p
129,10000001,11111111,6,1,12,1111111,-,----,-4096,8.1x81p
130,10000010,11111110,5,1,10,1111110,-,----,-1024,8.1x82p
131,10000011,11111101,4,1,9,111110-,1,----,-512,8.1x83p
132,10000100,11111100,4,1,8,111110-,0,----,-256,8.1x84p
133,10000101,11111011,3,1,7,11110--,1,1---,-192,8.1x85p
134,10000110,11111010,3,1,7,11110--,1,0---,-128,8.1x86p
135,10000111,11111001,3,1,6,11110--,0,1---,-96,8.1x87p
136,10001000,11111000,3,1,6,11110--,0,0---,-64,8.1x88p
137,10001001,11110111,2,1,5,1110---,1,11--,-56,8.1x89p
138,10001010,11110110,2,1,5,1110---,1,10--,-48,8.1x8Ap
139,10001011,11110101,2,1,5,1110---,1,01--,-40,8.1x8Bp
140,10001100,11110100,2,1,5,1110---,1,00--,-32,8.1x8Cp
141,10001101,11110011,2,1,4,1110---,0,11--,-28,8.1x8Dp
142,10001110,11110010,2,1,4,1110---,0,10--,-24,8.1x8Ep
143,10001111,11110001,2,1,4,1110---,0,01--,-20,8.1x8Fp
144,10010000,11110000,2,1,4,1110---,0,00--,-16,8.1x90p
145,10010001,11101111,1,1,3,110----,1,111-,-15,8.1x91p
146,10010010,11101110,1,1,3,110----,1,110-,-14,8.1x92p
147,10010011,11101101,1,1,3,110----,1,101-,-13,8.1x93p
148,10010100,11101100,1,1,3,110----,1,100-,-12,8.1x94p
149,10010101,11101011,1,1,3,110----,1,011-,-11,8.1x95p
150,10010110,11101010,1,1,3,110----,1,010-,-10,8.1x96p
151,10010111,11101001,1,1,3,110----,1,001-,-9,8.1x97p
152,10011000,11101000,1,1,3,110----,1,000-,-8,8.1x98p
153,10011001,11100111,1,1,2,110----,0,111-,-7.5,8.1x99p
154,10011010,11100110,1,1,2,110----,0,110-,-7,8.1x9Ap
155,10011011,11100101,1,1,2,110----,0,101-,-6.5,8.1x9Bp
156,10011100,11100100,1,1,2,110----,0,100-,-6,8.1x9Cp
157,10011101,11100011,1,1,2,110----,0,011-,-5.5,8.1x9Dp
158,10011110,11100010,1,1,2,110----,0,010-,-5,8.1x9Ep
159,10011111,11100001,1,1,2,110----,0,001-,-4.5,8.1x9Fp
160,10100000,11100000,1,1,2,110----,0,000-,-4,8.1xA0p
161,10100001,11011111,0,1,1,10-----,1,1111,-3.875,8.1xA1p
162,10100010,11011110,0,1,1,10-----,1,1110,-3.75,8.1xA2p
163,10100011,11011101,0,1,1,10-----,1,1101,-3.625,8.1xA3p
164,10100100,11011100,0,1,1,10-----,1,1100,-3.5,8.1xA4p
165,10100101,11011011,0,1,1,10-----,1,1011,-3.375,8.1xA5p
166,10100110,11011010,0,1,1,10-----,1,1010,-3.25,8.1xA6p
167,10100111,11011001,0,1,1,10-----,1,1001,-3.125,8.1xA7p
168,10101000,11011000,0,1,1,10-----,1,1000,-3,8.1xA8p
169,10101001,11010111,0,1,1,10-----,1,0111,-2.875,8.1xA9p
170,10101010,11010110,0,1,1,10-----,1,0110,-2.75,8.1xAAp
171,10101011,11010101,0,1,1,10-----,1,0101,-2.625,8.1xABp
172,10101100,11010100,0,1,1,10-----,1,0100,-2.5,8.1xACp
173,10101101,11010011,0,1,1,10-----,1,0011,-2.375,8.1xADp
174,10101110,11010010,0,1,1,10-----,1,0010,-2.25,8.1xAEp
175,10101111,11010001,0,1,1,10-----,1,0001,-2.125,8.1xAFp
176,10110000,11010000,0,1,1,10-----,1,0000,-2,8.1xB0p
177,10110001,11001111,0,1,0,10-----,0,1111,-1.9375,8.1xB1p
178,10110010,11001110,0,1,0,10-----,0,1110,-1.875,8.1xB2p
179,10110011,11001101,0,1,0,10-----,0,1101,-1.8125,8.1xB3p
180,10110100,11001100,0,1,0,10-----,0,1100,-1.75,8.1xB4p
181,10110101,11001011,0,1,0,10-----,0,1011,-1.6875,8.1xB5p
182,10110110,11001010,0,1,0,10-----,0,1010,-1.625,8.1xB6p
183,10110111,11001001,0,1,0,10-----,0,1001,-1.5625,8.1xB7p
184,10111000,11001000,0,1,0,10-----,0,1000,-1.5,8.1xB8p
185,10111001,11000111,0,1,0,10-----,0,0111,-1.4375,8.1xB9p
186,10111010,11000110,0,1,0,10-----,0,0110,-1.375,8.1xBAp
187,10111011,11000101,0,1,0,10-----,0,0101,-1.3125,8.1xBBp
188,10111100,11000100,0,1,0,10-----,0,0100,-1.25,8.1xBCp
189,10111101,11000011,0,1,0,10-----,0,0011,-1.1875,8.1xBDp
190,10111110,11000010,0,1,0,10-----,0,0010,-1.125,8.1xBEp
191,10111111,11000001,0,1,0,10-----,0,0001,-1.0625,8.1xBFp
192,11000000,11000000,0,1,0,10-----,0,0000,-1,8.1xC0p
193,11000001,10111111,-1,1,-1,01-----,1,1111,-0.96875,8.1xC1p
194,11000010,10111110,-1,1,-1,01-----,1,1110,-0.9375,8.1xC2p
195,11000011,10111101,-1,1,-1,01-----,1,1101,-0.90625,8.1xC3p
196,11000100,10111100,-1,1,-1,01-----,1,1100,-0.875,8.1xC4p
197,11000101,10111011,-1,1,-1,01-----,1,1011,-0.84375,8.1xC5p
198,11000110,10111010,-1,1,-1,01-----,1,1010,-0.8125,8.1xC6p
199,11000111,10111001,-1,1,-1,01-----,1,1001,-0.78125,8.1xC7p
200,11001000,10111000,-1,1,-1,01-----,1,1000,-0.75,8.1xC8p
201,11001001,10110111,-1,1,-1,01-----,1,0111,-0.71875,8.1xC9p
202,11001010,10110110,-1,1,-1,01-----,1,0110,-0.6875,8.1xCAp
203,11001011,10110101,-1,1,-1,01-----,1,0101,-0.65625,8.1xCBp
204,11001100,10110100,-1,1,-1,01-----,1,0100,-0.625,8.1xCCp
205,11001101,10110011,-1,1,-1,01-----,1,0011,-0.59375,8.1xCDp
206,11001110,10110010,-1,1,-1,01-----,1,0010,-0.5625,8.1xCEp
207,11001111,10110001,-1,1,-1,01-----,1,0001,-0.53125,8.1xCFp
208,11010000,10110000,-1,1,-1,01-----,1,0000,-0.5,8.1xD0p
209,11010001,10101111,-1,1,-2,01-----,0,1111,-0.484375,8.1xD1p
210,11010010,10101110,-1,1,-2,01-----,0,1110,-0.46875,8.1xD2p
211,11010011,10101101,-1,1,-2,01-----,0,1101,-0.453125,8.1xD3p
212,11010100,10101100,-1,1,-2,01-----,0,1100,-0.4375,8.1xD4p
213,11010101,10101011,-1,1,-2,01-----,0,1011,-0.421875,8.1xD5p
214,11010110,10101010,-1,1,-2,01-----,0,1010,-0.40625,8.1xD6p
215,11010111,10101001,-1,1,-2,01-----,0,1001,-0.390625,8.1xD7p
216,11011000,10101000,-1,1,-2,01-----,0,1000,-0.375,8.1xD8p
217,11011001,10100111,-1,1,-2,01-----,0,0111,-0.359375,8.1xD9p
218,11011010,10100110,-1,1,-2,01-----,0,0110,-0.34375,8.1xDAp
219,11011011,10100101,-1,1,-2,01-----,0,0101,-0.328125,8.1xDBp
220,11011100,10100100,-1,1,-2,01-----,0,0100,-0.3125,8.1xDCp
221,11011101,10100011,-1,1,-2,01-----,0,0011,-0.296875,8.1xDDp
222,11011110,10100010,-1,1,-2,01-----,0,0010,-0.28125,8.1xDEp
223,11011111,10100001,-1,1,-2,01-----,0,0001,-0.265625,8.1xDFp
224,11100000,10100000,-1,1,-2,01-----,0,0000,-0.25,8.1xE0p
225,11100001,10011111,-2,1,-3,001----,1,111-,-0.234375,8.1xE1p
226,11100010,10011110,-2,1,-3,001----,1,110-,-0.21875,8.1xE2p
227,11100011,10011101,-2,1,-3,001----,1,101-,-0.203125,8.1xE3p
228,11100100,10011100,-2,1,-3,001----,1,100-,-0.1875,8.1xE4p
229,11100101,10011011,-2,1,-3,001----,1,011-,-0.171875,8.1xE5p
230,11100110,10011010,-2,1,-3,001----,1,010-,-0.15625,8.1xE6p
231,11100111,10011001,-2,1,-3,001----,1,001-,-0.140625,8.1xE7p
232,11101000,10011000,-2,1,-3,001----,1,000-,-0.125,8.1xE8p
233,11101001,10010111,-2,1,-4,001----,0,111-,-0.1171875,8.1xE9p
234,11101010,10010110,-2,1,-4,001----,0,110-,-0.109375,8.1xEAp
235,11101011,10010101,-2,1,-4,001----,0,101-,-0.1015625,8.1xEBp
236,11101100,10010100,-2,1,-4,001----,0,100-,-0.09375,8.1xECp
237,11101101,10010011,-2,1,-4,001----,0,011-,-0.0859375,8.1xEDp
238,11101110,10010010,-2,1,-4,001----,0,010-,-0.078125,8.1xEEp
239,11101111,10010001,-2,1,-4,001----,0,001-,-0.0703125,8.1xEFp
240,11110000,10010000,-2,1,-4,001----,0,000-,-0.0625,8.1xF0p
241,11110001,10001111,-3,1,-5,0001---,1,11--,-0.0546875,8.1xF1p
242,11110010,10001110,-3,1,-5,0001---,1,10--,-0.046875,8.1xF2p
243,11110011,10001101,-3,1,-5,0001---,1,01--,-0.0390625,8.1xF3p
244,11110100,10001100,-3,1,-5,0001---,1,00--,-0.03125,8.1xF4p
245,11110101,10001011,-3,1,-6,0001---,0,11--,-0.02734375,8.1xF5p
246,11110110,10001010,-3,1,-6,0001---,0,10--,-0.0234375,8.1xF6p
247,11110111,10001001,-3,1,-6,0001---,0,01--,-0.01953125,8.1xF7p
248,11111000,10001000,-3,1,-6,0001---,0,00--,-0.015625,8.1xF8p
249,11111001,10000111,-4,1,-7,00001--,1,1---,-0.01171875,8.1xF9p
250,11111010,10000110,-4,1,-7,00001--,1,0---,-0.0078125,8.1xFAp
251,11111011,10000101,-4,1,-8,00001--,0,1---,-0.005859375,8.1xFBp
252,11111100,10000100,-4,1,-8,00001--,0,0---,-0.00390625,8.1xFCp
253,11111101,10000011,-5,1,-9,000001-,1,----,-0.001953125,8.1xFDp
254,11111110,10000010,-5,1,-10,000001-,0,----,-0.0009765625,8.1xFEp
255,11111111,10000001,-6,1,-12,0000001,-,----,-0.000244140625,8.1xFFp

"Generate Posit Lookup table for a POSIT<8,2> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,00000000,00000000,-7,0,-24,0000000,--,---,0,8.2x00p
1,00000001,00000001,-6,0,-24,0000001,--,---,5.9604644775390625e-08,8.2x01p
2,00000010,00000010,-5,0,-20,000001-,0-,---,9.5367431640625e-07,8.2x02p
3,00000011,00000011,-5,0,-18,000001-,1-,---,3.814697265625e-06,8.2x03p
4,00000100,00000100,-4,0,-16,00001--,00,---,1.52587890625e-05,8.2x04p
5,00000101,00000101,-4,0,-15,00001--,01,---,3.0517578125e-05,8.2x05p
6,00000110,00000110,-4,0,-14,00001--,10,---,6.103515625e-05,8.2x06p
7,00000111,00000111,-4,0,-13,00001--,11,---,0.0001220703125,8.2x07p
8,00001000,00001000,-3,0,-12,0001---,00,0--,0.000244140625,8.2x08p
9,00001001,00001001,-3,0,-12,0001---,00,1--,0.0003662109375,8.2x09p
10,00001010,00001010,-3,0,-11,0001---,01,0--,0.00048828125,8.2x0Ap
11,00001011,00001011,-3,0,-11,0001---,01,1--,0.000732421875,8.2x0Bp
12,00001100,00001100,-3,0,-10,0001---,10,0--,0.0009765625,8.2x0Cp
13,00001101,00001101,-3,0,-10,0001---,10,1--,0.00146484375,8.2x0Dp
14,00001110,00001110,-3,0,-9,0001---,11,0--,0.001953125,8.2x0Ep
15,00001111,00001111,-3,0,-9,0001---,11,1--,0.0029296875,8.2x0Fp
16,00010000,00010000,-2,0,-8,001----,00,00-,0.00390625,8.2x10p
17,00010001,00010001,-2,0,-8,001----,00,01-,0.0048828125,8.2x11p
18,00010010,00010010,-2,0,-8,001----,00,10-,0.005859375,8.2x12p
19,00010011,00010011,-2,0,-8,001----,00,11-,0.0068359375,8.2x13p
20,00010100,00010100,-2,0,-7,001----,01,00-,0.0078125,8.2x14p
21,00010101,00010101,-2,0,-7,001----,01,01-,0.009765625,8.2x15p
22,00010110,00010110,-2,0,-7,001----,01,10-,0.01171875,8.2x16p
23,00010111,00010111,-2,0,-7,001----,01,11-,0.013671875,8.2x17p
24,00011000,00011000,-2,0,-6,001----,10,00-,0.015625,8.2x18p
25,00011001,00011001,-2,0,-6,001----,10,01-,0.01953125,8.2x19p
26,00011010,00011010,-2,0,-6,001----,10,10-,0.0234375,8.2x1Ap
27,00011011,00011011,-2,0,-6,001----,10,11-,0.02734375,8.2x1Bp
28,00011100,00011100,-2,0,-5,001----,11,00-,0.03125,8.2x1Cp
29,00011101,00011101,-2,0,-5,001----,11,01-,0.0390625,8.2x1Dp
30,00011110,00011110,-2,0,-5,001----,11,10-,0.046875,8.2x1Ep
31,00011111,00011111,-2,0,-5,001----,11,11-,0.0546875,8.2x1Fp
32,00100000,00100000,-1,0,-4,01-----,00,000,0.0625,8.2x20p
33,00100001,00100001,-1,0,-4,01-----,00,001,0.0703125,8.2x21p
34,00100010,00100010,-1,0,-4,01-----,00,010,0.078125,8.2x22p
35,00100011,00100011,-1,0,-4,01-----,00,011,0.0859375,8.2x23p
36,00100100,00100100,-1,0,-4,01-----,00,100,0.09375,8.2x24p
37,00100101,00100101,-1,0,-4,01-----,00,101,0.1015625,8.2x25p
38,00100110,00100110,-1,0,-4,01-----,00,110,0.109375,8.2x26p
39,00100111,00100111,-1,0,-4,01-----,00,111,0.1171875,8.2x27p
40,00101000,00101000,-1,0,-3,01-----,01,000,0.125,8.2x28p
41,00101001,00101001,-1,0,-3,01-----,01,001,0.140625,8.2x29p
42,00101010,00101010,-1,0,-3,01-----,01,010,0.15625,8.2x2Ap
43,00101011,00101011,-1,0,-3,01-----,01,011,0.171875,8.2x2Bp
44,00101100,00101100,-1,0,-3,01-----,01,100,0.1875,8.2x2Cp
45,00101101,00101101,-1,0,-3,01-----,01,101,0.203125,8.2x2Dp
46,00101110,00101110,-1,0,-3,01-----,01,110,0.21875,8.2x2Ep
47,00101111,00101111,-1,0,-3,01-----,01,111,0.234375,8.2x2Fp
48,00110000,00110000,-1,0,-2,01-----,10,000,0.25,8.2x30p
49,00110001,00110001,-1,0,-2,01-----,10,001,0.28125,8.2x31p
50,00110010,00110010,-1,0,-2,01-----,10,010,0.3125,8.2x32p
51,00110011,00110011,-1,0,-2,01-----,10,011,0.34375,8.2x33p
52,00110100,00110100,-1,0,-2,01-----,10,100,0.375,8.2x34p
53,00110101,00110101,-1,0,-2,01-----,10,101,0.40625,8.2x35p
54,00110110,00110110,-1,0,-2,01-----,10,110,0.4375,8.2x36p
55,00110111,00110111,-1,0,-2,01-----,10,111,0.46875,8.2x37p
56,00111000,00111000,-1,0,-1,01-----,11,000,0.5,8.2x38p
57,00111001,00111001,-1,0,-1,01-----,11,001,0.5625,8.2x39p
58,00111010,00111010,-1,0,-1,01-----,11,010,0.625,8.2x3Ap
59,00111011,00111011,-1,0,-1,01-----,11,011,0.6875,8.2x3Bp
60,00111100,00111100,-1,0,-1,01-----,11,100,0.75,8.2x3Cp
61,00111101,00111101,-1,0,-1,01-----,11,101,0.8125,8.2x3Dp
62,00111110,00111110,-1,0,-1,01-----,11,110,0.875,8.2x3Ep
63,00111111,00111111,-1,0,-1,01-----,11,111,0.9375,8.2x3Fp
64,01000000,01000000,0,0,0,10-----,00,000,1,8.2x40p
65,01000001,01000001,0,0,0,10-----,00,001,1.125,8.2x41p
66,01000010,01000010,0,0,0,10-----,00,010,1.25,8.2x42p
67,01000011,01000011,0,0,0,10-----,00,011,1.375,8.2x43p
68,01000100,01000100,0,0,0,10-----,00,100,1.5,8.2x44p
69,01000101,01000101,0,0,0,10-----,00,101,1.625,8.2x45p
70,01000110,01000110,0,0,0,10-----,00,110,1.75,8.2x46p
71,01000111,01000111,0,0,0,10-----,00,111,1.875,8.2x47p
72,01001000,01001000,0,0,1,10-----,01,000,2,8.2x48p
73,01001001,01001001,0,0,1,10-----,01,001,2.25,8.2x49p
74,01001010,01001010,0,0,1,10-----,01,010,2.5,8.2x4Ap
75,01001011,01001011,0,0,1,10-----,01,011,2.75,8.2x4Bp
76,01001100,01001100,0,0,1,10-----,01,100,3,8.2x4Cp
77,01001101,01001101,0,0,1,10-----,01,101,3.25,8.2x4Dp
78,01001110,01001110,0,0,1,10-----,01,110,3.5,8.2x4Ep
79,01001111,01001111,0,0,1,10-----,01,111,3.75,8.2x4Fp
80,01010000,01010000,0,0,2,10-----,10,000,4,8.2x50p
81,01010001,01010001,0,0,2,10-----,10,001,4.5,8.2x51p
82,01010010,01010010,0,0,2,10-----,10,010,5,8.2x52p
83,01010011,01010011,0,0,2,10-----,10,011,5.5,8.2x53p
84,01010100,01010100,0,0,2,10-----,10,100,6,8.2x54p
85,01010101,01010101,0,0,2,10-----,10,101,6.5,8.2x55p
86,01010110,01010110,0,0,2,10-----,10,110,7,8.2x56p
87,01010111,01010111,0,0,2,10-----,10,111,7.5,8.2x57p
88,01011000,01011000,0,0,3,10-----,11,000,8,8.2x58p
89,01011001,01011001,0,0,3,10-----,11,001,9,8.2x59p
90,01011010,01011010,0,0,3,10-----,11,010,10,8.2x5Ap
91,01011011,01011011,0,0,3,10-----,11,011,11,8.2x5Bp
92,01011100,01011100,0,0,3,10-----,11,100,12,8.2x5Cp
93,01011101,01011101,0,0,3,10-----,11,101,13,8.2x5Dp
94,01011110,01011110,0,0,3,10-----,11,110,14,8.2x5Ep
95,01011111,01011111,0,0,3,10-----,11,111,15,8.2x5Fp
96,01100000,01100000,1,0,4,110----,00,00-,16,8.2x60p
97,01100001,01100001,1,0,4,110----,00,01-,20,8.2x61p
98,01100010,01100010,1,0,4,110----,00,10-,24,8.2x62p
99,01100011,01100011,1,0,4,110----,00,11-,28,8.2x63p
100,01100100,01100100,1,0,5,110----,01,00-,32,8.2x64p
101,01100101,01100101,1,0,5,110----,01,01-,40,8.2x65p
102,01100110,01100110,1,0,5,110----,01,10-,48,8.2x66p
103,01100111,01100111,1,0,5,110----,01,11-,56,8.2x67p
104,01101000,01101000,1,0,6,110----,10,00-,64,8.2x68p
105,01101001,01101001,1,0,6,110----,10,01-,80,8.2x69p
106,01101010,01101010,1,0,6,110----,10,10-,96,8.2x6Ap
107,01101011,01101011,1,0,6,110----,10,11-,112,8.2x6Bp
108,01101100,01101100,1,0,7,110----,11,00-,128,8.2x6Cp
109,01101101,01101101,1,0,7,110----,11,01-,160,8.2x6Dp
110,01101110,01101110,1,0,7,110----,11,10-,192,8.2x6Ep
111,01101111,01101111,1,0,7,110----,11,11-,224,8.2x6Fp
112,01110000,01110000,2,0,8,1110---,00,0--,256,8.2x70p
113,01110001,01110001,2,0,8,1110---,00,1--,384,8.2x71p
114,01110010,01110010,2,0,9,1110---,01,0--,512,8.2x72p
115,01110011,01110011,2,0,9,1110---,01,1--,768,8.2x73p
116,01110100,01110100,2,0,10,1110---,10,0--,1024,8.2x74p
117,01110101,01110101,2,0,10,1110---,10,1--,1536,8.2x75p
118,01110110,01110110,2,0,11,1110---,11,0--,2048,8.2x76p
119,01110111,01110111,2,0,11,1110---,11,1--,3072,8.2x77p
120,01111000,01111000,3,0,12,11110--,00,---,4096,8.2x78p
121,01111001,01111001,3,0,13,11110--,01,---,8192,8.2x79p
122,01111010,01111010,3,0,14,11110--,10,---,16384,8.2x7Ap
123,01111011,01111011,3,0,15,11110--,11,---,32768,8.2x7Bp
124,01111100,01111100,4,0,16,111110-,0-,---,65536,8.2x7Cp
125,01111101,01111101,4,0,18,111110-,1-,---,262144,8.2x7Dp
126,01111110,01111110,5,0,20,1111110,--,---,1048576,8.2x7Ep
127,01111111,01111111,6,0,24,1111111,--,---,16777216,8.2x7Fp
128,10000000,10000000,7,1,-24,0000000,--,---,nar,8.2x80p
129,10000001,11111111,6,1,24,1111111,--,---,-16777216,8.2x81p
130,10000010,11111110,5,1,20,1111110,--,---,-1048576,8.2x82p
131,10000011,11111101,4,1,18,111110-,1-,---,-262144,8.2x83p
132,10000100,11111100,4,1,16,111110-,0-,---,-65536,8.2x84p
133,10000101,11111011,3,1,15,11110--,11,---,-32768,8.2x85p
134,10000110,11111010,3,1,14,11110--,10,---,-16384,8.2x86p
135,10000111,11111001,3,1,13,11110--,01,---,-8192,8.2x87p
136,10001000,11111000,3,1,12,11110--,00,---,-4096,8.2x88p
137,10001001,11110111,2,1,11,1110---,11,1--,-3072,8.2x89p
138,10001010,11110110,2,1,11,1110---,11,0--,-2048,8.2x8Ap
